X,Y,osm_id,bridge,layer,highway,surface,oneway,ref,name,toll,railway,lanes,maxspeed,placement,minspeed,turn:lanes,destination:ref:lanes,destination:lanes,addr:postcode,usage,frequency,gauge,voltage,electrified
-8.7054536,41.3025823,387757440,yes,1,cycleway,,,,,,,,,,,,,,,,,,,
-8.70549425,41.30263165,135457839,yes,1,secondary,asphalt,yes,,,,,2,,,,,,,,,,,,
-8.70554945,41.302716,387757439,yes,1,cycleway,,,,,,,,,,,,,,,,,,,
-8.7055361,41.3026967,135457823,yes,1,secondary,asphalt,yes,,,,,2,,,,,,,,,,,,
-8.6995434,41.28236145,59227922,yes,1,tertiary,,,M 531-4,,,,,,,,,,,,,,,,
-8.7007828,41.2846456,59227920,yes,1,unclassified,,,,,,,,,,,,,,,,,,,
-8.69408895,41.28601155,133533219,yes,1,tertiary,,,,Rua Central de Modivas de Baixo,,,,,,,,,,,,,,,
-8.686432,41.28370655,386578570,yes,1,unclassified,,,,,,,,,,,,,,,,,,,
-8.688259,41.2855284,767997334,yes,1,residential,cobblestone,no,,Rua de Real,,,,50,,,,,,,,,,,
-8.70020545,41.30150275,59229527,yes,1,motorway,asphalt,yes,A 28,,no,,3,120,right_of:1,50,through|through|right,A 28|A 28|N 13,"Porto;Leixões|Porto;Leixões|Maia;Modivas",,,,,,
-8.70008005,41.30138735,734992800,yes,1,motorway,asphalt,yes,A 28,,no,,3,120,right_of:1,50,through|through|right,A 28|A 28|N 13,"Valença;Viana do Castelo;Vila do Conde|Valença;Viana do Castelo;Vila do Conde|Mindelo",,,,,,
-8.69694585,41.3068165,135457866,yes,1,tertiary,,,,,,,,,,,,,,,,,,,
-8.6555974,41.2853642,768679564,yes,1,unclassified,,,,Rua Sua-Vila,,,,,,,,,,4485-903,,,,,
-8.7123606,41.3123439,386440153,yes,1,,,yes,,,,light_rail,,,,,,,,,main,0,1435,750,contact_line
-8.71232325,41.31235805,132756306,yes,1,,,yes,,,,light_rail,,,,,,,,,main,0,1435,750,contact_line
-8.71574885,41.31720155,386440142,yes,1,,,yes,,,,light_rail,,,,,,,,,main,0,1435,750,contact_line
-8.7157053,41.317208,132756305,yes,1,,,yes,,,,light_rail,,,,,,,,,main,0,1435,750,contact_line
-8.70295045,41.31583,29090210,yes,1,tertiary,,,,,,,,,,,,,,,,,,,
-8.705102,41.318797,23142166,yes,1,tertiary,,,,Rua dos Combatentes,,,,,,,,,,,,,,,
-8.6994682,41.31114325,135457881,yes,1,unclassified,,,,,,,,,,,,,,,,,,,
