X,Y,osm_id,waterway,name,width,layer,tunnel,boat
-8.70042346342723,41.2772592004387,386578495,river,Rio Onda,7,,,
-8.69948994999988,41.2775979,386578497,river,Rio Onda,,-1,culvert,
-8.69310492481169,41.2796914722572,386440174,river,Rio Onda,7,,,
-8.6905039,41.28169815,386440173,river,Rio Onda,,-1,culvert,
-8.6893213,41.28233965,549730340,river,Rio Onda,7,,,
-8.68749661455841,41.2833928623411,386578506,stream,Rio Onda,7,,,
-8.6840402,41.28315075,386578505,stream,Rio Agra,,-1,culvert,
-8.68052715,41.2825144,386578493,stream,Rio Onda,7,,,
-8.65676922245296,41.274009669433,330924776,stream,Rio Lameira,6,,,
-8.67783652415779,41.2808594714939,330924720,stream,Rio Onda,7,,,
-8.6760198,41.28000185,386578501,stream,Rio Agra,,-1,culvert,
-8.67530208683516,41.2801978470905,386578496,stream,Rio Onda,7,,,
-8.6709851,41.2790232,386578507,stream,Rio Lameira,,-1,culvert,
-8.67116975672959,41.2792544589187,386578512,stream,Rio Lameira,6,,,
-8.6727012,41.279809,386578502,stream,Rio Agra,,-1,culvert,
-8.67091214755393,41.2802569521644,386578494,stream,Rio Onda,7,,,
-8.67085834999985,41.2790146,386578509,stream,Rio Lameira,6,,,
-8.670693,41.2790142,386578508,stream,Rio Lameira,,-1,culvert,
-8.66995999892552,41.2790043987196,386578511,stream,Rio Lameira,6,,,
-8.66976885,41.2789897,386578510,stream,Rio Lameira,,-1,culvert,
-8.6705248,41.28082605,386578499,stream,Rio Agra,,-1,culvert,
-8.67886415,41.28177225,386578504,stream,Rio Agra,,-1,culvert,
-8.66942970482103,41.2823850704601,386578492,stream,Rio Onda,7,,,
-8.666906,41.2843026,386578503,stream,Rio Onda,,-1,culvert,
-8.66421975,41.2853435,549730314,stream,Rio Onda,7,,,
-8.65769705,41.28559305,549730311,stream,Rio onda,,-1,culvert,
-8.68824475134185,41.291903176763,549560876,stream,Ribeira da Laje,,,,
-8.6625259,41.28688235,549730318,stream,Rio Onda,,-1,culvert,
-8.66021970984797,41.2867921712113,549730309,stream,Rio Onda,7,,,
-8.6670733,41.29381815,549730308,stream,Ribeira da Laje,,-1,culvert,
-8.65176010860777,41.3013988006957,549730302,stream,Ribeira da Laje,,,,
-8.6464392,41.28389935,386578491,stream,Rio Onda,7,,,
-8.71742535,41.3140527,686320177,stream,Ribeira de Silvares,,-1,culvert,
-8.71848580727225,41.3158415871532,686320178,stream,Ribeira de Silvares,,,,
-8.69848733211504,41.3135116005202,554034828,stream,Ribeira de Silvares,,,,
-8.69392142406543,41.3204441176231,29090325,stream,regato de sarinhaes,,,,no
-8.6929142,41.32040545,136791837,stream,regato de sarinhaes,,-1,culvert,no
-8.69277112305585,41.3202584865516,136791840,stream,regato de sarinhaes,,,,no
